,repository_name,language
0,app-store-server-library-java,Java
1,app-store-server-library-node,TypeScript
2,app-store-server-library-python,Python
3,app-store-server-library-swift,Swift
4,apple-llvm-infrastructure-tools,C++
5,apple_rules_lint,Starlark
6,ARKitScenes,Python
7,AudioUnit-Examples,Swift
8,AudioUnitSDK,C++
9,axlearn,Python
10,batch-processing-gateway,Java
11,ccs-caldavclientlibrary,HTML
12,ccs-caldavtester,Python
13,ccs-calendarserver,Python
14,ccs-pycalendar,Python
15,ccs-pykerberos,C
16,ccs-pyopendirectory,C++
17,ccs-pyosxframeworks,Python
18,ccs-pysecuretransport,Python
19,ccs-twistedextensions,Python
20,coremltools,Python
21,cups,C
22,darwin-libplatform,C
23,darwin-libpthread,C
24,darwin-xnu,C
25,device-management,
26,dnikit,Python
27,example-package-dealer,Swift
28,example-package-deckofplayingcards,Swift
29,example-package-fisheryates,Swift
30,example-package-playingcard,Swift
31,FHIRModels,Swift
32,foundationdb,C++
33,fstools,C
34,GCGC,Jupyter Notebook
35,homebrew-apple,Ruby
36,HomeKitADK,C
37,indexstore-db,C++
38,learning-compressible-subspaces,Python
39,learning-subspaces,Python
40,llvm-monorepo-root,
41,llvm-project,
42,llvm-project-v5,C++
43,llvm-project-v5-split,C++
44,MaterialX,
45,ml-afv,Python
46,ml-all-pairs,Python
47,ml-ane-transformers,Python
48,ml-aspanformer,Python
49,ml-autofocusformer,Python
50,ml-autofocusformer-segmentation,Python
51,ml-batchquant,Python
52,ml-capsules-inverted-attention-routing,Python
53,ml-cifar-10-faster,Python
54,ml-code-switched-speech-translation,Python
55,ml-collegial-ensembles,Python
56,ml-core,Python
57,ml-covid-mobility,R
58,ml-cread,Python
59,ml-cvnets,Python
60,ml-cvpr2019-swd,Python
61,ml-dab,Python
62,ml-data-parameters,Python
63,ml-destseg,Python
64,ml-dms-dataset,Python
65,ml-dprecs,Jupyter Notebook
66,ml-dr,Python
67,ml-duet,Python
68,ml-entropy-reconstruction,Python
69,ml-envmapnet,Python
70,ml-equivariant-neural-rendering,Jupyter Notebook
71,ml-facelit,Python
72,ml-fct,Python
73,ml-finerecon,Python
74,ml-flair,Jupyter Notebook
75,ml-gaudi,
76,ml-gmpi,Python
77,ml-gsn,Python
78,ml-hierarchical-confusion-matrix,TypeScript
79,ml-hypersim,Python
80,ml-interspeech2022-phi_rtn,
81,ml-knowledge-conflicts,Python
82,ml-live-pose,
83,ml-mkqa,Python
84,ml-mobileone,Swift
85,ml-multiple-futures-prediction,Python
86,ml-ncg,Python
87,ml-neilf,Python
88,ml-neilfpp,Python
89,ml-neuman,Python
90,ml-no-token-left-behind,Jupyter Notebook
91,ml-pointconvformer,Python
92,ml-pointersect,Python
93,ml-probabilistic-attention,Python
94,ml-projunit,Python
95,ml-qrecc,Python
96,ml-quant,Python
97,ml-robust-expert-augmentations,Python
98,ml-sad,Python
99,ml-selfcond,Python
100,ml-shuffling-amplification,Python
101,ml-spin,Python
102,ml-stable-diffusion,Python
103,ml-stuttering-events-dataset,Python
104,ml-symphony,Svelte
105,ml-tract,Python
106,ml-transcript-translation-consistency-ratings,
107,ml-translate-vis,TypeScript
108,ml-tree-dst,Python
109,ml-tune-mode-convbn,Python
110,ml-upscale,Jupyter Notebook
111,ml-uwac,Python
112,ml-vfi-smiff,Python
113,openjdk,Java
114,password-manager-resources,JavaScript
115,sample-backyard-birds,Swift
116,sample-cloudkit-coredatasync,Swift
117,sample-cloudkit-encryption,Swift
118,sample-cloudkit-privatedb,Swift
119,sample-cloudkit-privatedb-sync,Swift
120,sample-cloudkit-queries,Swift
121,sample-cloudkit-sharing,Swift
122,sample-cloudkit-sync-engine,Swift
123,sample-cloudkit-tooling,JavaScript
124,sample-cloudkit-zonesharing,Swift
125,sample-food-truck,Swift
126,servicetalk,Java
127,sourcekit-lsp,Swift
128,swift,C++
129,swift-3-api-guidelines-review,Swift
130,swift-algorithms,Swift
131,swift-argument-parser,Swift
132,swift-asn1,Swift
133,swift-async-algorithms,Swift
134,swift-atomics,Swift
135,swift-book,Markdown
136,swift-cassandra-client,Swift
137,swift-certificates,Swift
138,swift-clang,C++
139,swift-clang-tools-extra,C++
140,swift-cluster-membership,Swift
141,swift-cmake-examples,CMake
142,swift-cmark,C
143,swift-collections,Swift
144,swift-collections-benchmark,Swift
145,swift-community-hosted-continuous-integration,
146,swift-compiler-rt,C
147,swift-corelibs-foundation,Swift
148,swift-corelibs-libdispatch,C
149,swift-corelibs-xctest,Swift
150,swift-crypto,C
151,swift-distributed-actors,Swift
152,swift-distributed-tracing,Swift
153,swift-distributed-tracing-baggage-core,Swift
154,swift-distributed-tracing-extras,Swift
155,swift-docc,Swift
156,swift-docc-plugin,Swift
157,swift-docc-render,JavaScript
158,swift-docc-render-artifact,
159,swift-docc-symbolkit,Swift
160,swift-docker,Dockerfile
161,swift-driver,Swift
162,swift-evolution,Markdown
163,swift-evolution-staging,Swift
164,swift-experimental-string-processing,Swift
165,swift-format,Swift
166,swift-foundation,Swift
167,swift-foundation-icu,C
168,swift-http-structured-headers,Swift
169,swift-http-types,Swift
170,swift-installer-scripts,CMake
171,swift-integration-tests,Python
172,swift-internals,HTML
173,swift-issues,
174,swift-libcxx,C++
175,swift-llbuild,C++
176,swift-llbuild2,Swift
177,swift-lldb,C++
178,swift-llvm,LLVM
179,swift-llvm-bindings,Swift
180,swift-lmdb,C
181,swift-log,Swift
182,swift-markdown,Swift
183,swift-metrics,Swift
184,swift-metrics-extras,Swift
185,swift-nio,Swift
186,swift-nio-examples,Swift
187,swift-nio-extras,Swift
188,swift-nio-http2,Swift
189,swift-nio-imap,Swift
190,swift-nio-nghttp2-support,Swift
191,swift-nio-ssh,Swift
192,swift-nio-ssl,C
193,swift-nio-ssl-support,Swift
194,swift-nio-transport-services,Swift
195,swift-nio-zlib-support,Swift
196,swift-numerics,Swift
197,swift-openapi-generator,Swift
198,swift-openapi-runtime,Swift
199,swift-openapi-urlsession,Swift
200,swift-org-website,SCSS
201,swift-package-collection-generator,Swift
202,swift-package-manager,Swift
203,swift-package-registry-compatibility-test-suite,Swift
204,swift-protobuf,Swift
205,swift-protobuf-plugin,
206,swift-protobuf-test-conformance,
207,swift-sample-distributed-actors-transport,Swift
208,swift-se0270-range-set,Swift
209,swift-se0288-is-power,Swift
